time/fps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/learning_rate,train/loss,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/approx_kl,train/std,train/clip_range
3353,84.200082410015,22,30.28,13,1617920,0.0001,14.638561248779297,0.946485698223114,0.025722075253725052,26.993144035339355,0.26953125,1840,32.096920013427734,0.027121443,0.07999999076128006,0.2
3359,84.7278489908683,23,30.47,14,1619968,0.0001,11.944331169128418,0.9554986953735352,0.014250067062675953,19.23682689666748,0.228515625,1841,32.096920013427734,0.025998378,0.07999999076128006,0.2
3363,85.11896919318112,24,30.61,14,1622016,0.0001,10.389150619506836,0.9588133096694946,0.039334557950496674,19.46250057220459,0.302734375,1842,32.096920013427734,0.044242445,0.07999999076128006,0.2
3367,86.31555630182025,25,31.02,15,1624064,0.0001,8.762280464172363,0.9604600071907043,0.022798312827944756,17.721171379089355,0.302734375,1843,32.096920013427734,0.04137633,0.07999999076128006,0.2
3372,87.03831522239174,26,31.28,15,1626112,0.0001,10.60942554473877,0.96389240026474,0.028028886765241623,19.456405639648438,0.23828125,1844,32.096920013427734,0.022473669,0.07999999076128006,0.2
3374,87.85417026411375,27,31.59,16,1628160,0.0001,8.209647178649902,0.964749276638031,0.02777704782783985,16.54284906387329,0.298828125,1845,32.096920013427734,0.04022129,0.07999999076128006,0.2
3374,88.59733249290704,28,31.86,16,1630208,0.0001,8.920042991638184,0.9644244313240051,0.03641525004059076,18.87228012084961,0.33203125,1846,32.096920013427734,0.05240776,0.07999999076128006,0.2
3377,89.34906830117048,29,32.13,17,1632256,0.0001,9.92142391204834,0.9653096199035645,0.04894825257360935,19.169368743896484,0.341796875,1847,32.096920013427734,0.056592274,0.07999999076128006,0.2
3381,90.79507360249634,30,32.65,18,1634304,0.0001,8.755022048950195,0.9636342525482178,0.0290993545204401,19.36121940612793,0.369140625,1848,32.096920013427734,0.06839667,0.07999999076128006,0.2
3385,92.80595995450693,31,33.37,18,1636352,0.0001,9.046987533569336,0.9654963612556458,0.057043833658099174,18.755258560180664,0.337890625,1849,32.096920013427734,0.07737794,0.07999999076128006,0.2
3389,93.75163524533151,32,33.72,19,1638400,0.0001,10.374526023864746,0.9630086421966553,0.02424348797649145,21.862411499023438,0.357421875,1850,32.096920013427734,0.0646764,0.07999999076128006,0.2
3393,95.10032335474702,33,34.21,19,1640448,0.0001,10.469671249389648,0.9638151526451111,0.0370969083160162,22.56698226928711,0.365234375,1851,32.096920013427734,0.08121769,0.07999999076128006,0.2
3397,96.1637427676942,34,34.61,20,1642496,0.0001,11.713258743286133,0.9647694230079651,0.04900903534144163,23.358592987060547,0.32421875,1852,32.096920013427734,0.06281715,0.07999999076128006,0.2
3401,96.89186494288717,35,34.9,21,1644544,0.0001,11.687097549438477,0.960627555847168,0.01477139350026846,23.1105375289917,0.294921875,1853,32.096920013427734,0.047217228,0.07999999076128006,0.2
3405,97.83199502200287,36,35.28,21,1646592,0.0001,13.192586898803711,0.9586558938026428,0.013308104127645493,27.10010814666748,0.31640625,1854,32.096920013427734,0.042673342,0.07999999076128006,0.2
3408,98.68300907841349,37,35.62,22,1648640,0.0001,13.497749328613281,0.957061231136322,0.02496731490828097,28.03782558441162,0.30078125,1855,32.096920013427734,0.04243888,0.07999999076128006,0.2
3411,99.69301830348175,38,36.02,22,1650688,0.0001,16.33434295654297,0.9545212984085083,0.03881745086982846,31.741429328918457,0.306640625,1856,32.096920013427734,0.043184303,0.07999999076128006,0.2
3414,100.64074069410992,39,36.4,23,1652736,0.0001,16.65669822692871,0.9590586423873901,0.028328299522399902,31.5641450881958,0.2890625,1857,32.096920013427734,0.032600872,0.07999999076128006,0.2
