rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/learning_rate,train/clip_range,train/n_updates,train/entropy_loss,train/explained_variance,train/std
133.36,359.2209635899068,1183744,4614,66,29,0.015418744832277297,137.6569061279297,0.215625,260.6750915527344,0.016272586,0.0001,0.2,1601,32.096920013427734,0.9340577125549316,0.07999999076128006
132.7,356.77546622365423,1185792,4616,67,29,0.013162240851670504,122.62378692626953,0.216796875,221.49892807006836,0.018996822,0.0001,0.2,1602,32.096920013427734,0.9348388910293579,0.07999999076128006
134.0,359.8834036108949,1187840,4618,68,30,0.021809750236570835,99.6749496459961,0.1953125,222.97443008422852,0.017118268,0.0001,0.2,1603,32.096920013427734,0.947960615158081,0.07999999076128006
133.61,357.6537206419601,1189888,4619,69,30,0.030648805821935337,97.04444885253906,0.2513020833333333,185.20234171549478,0.019641127,0.0001,0.2,1604,32.096920013427734,0.9390771389007568,0.07999999076128006
132.43,352.4445566449197,1191936,4620,70,31,0.018716964249809582,91.50475311279297,0.21744791666666666,170.82109578450522,0.017425641,0.0001,0.2,1605,32.096920013427734,0.9614869356155396,0.07999999076128006
133.09,354.0417259079652,1193984,4622,71,31,0.014929652834932009,112.8552017211914,0.17708333333333334,211.72181193033853,0.016693922,0.0001,0.2,1606,32.096920013427734,0.9575566649436951,0.07999999076128006
132.2,351.0771196917316,1196032,4622,72,31,0.015214292953411737,123.25051879882812,0.23307291666666666,228.46838887532553,0.022677945,0.0001,0.2,1607,32.096920013427734,0.9311683773994446,0.07999999076128006
131.18,348.5466670916197,1198080,4624,73,32,0.015027610352262855,157.20407104492188,0.25,263.40152740478516,0.02356818,0.0001,0.2,1608,32.096920013427734,0.9439351558685303,0.07999999076128006
130.54,344.1157605678507,1200128,4624,74,32,0.007132314145565033,110.82426452636719,0.16536458333333334,234.95852661132812,0.01378806,0.0001,0.2,1609,32.096920013427734,0.9289301037788391,0.07999999076128006
130.71,344.0708340259434,1202176,4625,75,33,0.008293770253658295,107.53312683105469,0.2197265625,212.41559982299805,0.017718542,0.0001,0.2,1610,32.096920013427734,0.9652866125106812,0.07999999076128006
