rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/value_loss,train/learning_rate,train/clip_range,train/explained_variance,train/entropy_loss,train/loss,train/std,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/n_updates
216.2958143623854,45,3882,87,702464,86.98,26.67540979385376,0.0003,0.2,0.9872003793716431,32.096920013427734,12.884072303771973,0.07999999076128006,0.74296875,0.4907158,0.04189076783368364,1710
219.13241932494483,46,3882,88,704512,87.98,28.252724742889406,0.0003,0.2,0.9875372648239136,32.096920013427734,10.316292762756348,0.07999999076128006,0.64365234375,0.22304243,0.008424210152588785,1715
222.89232604611894,46,3884,89,706560,89.39,29.912127113342287,0.0003,0.2,0.9869382977485657,32.096920013427734,14.824885368347168,0.07999999076128006,0.74482421875,0.44105297,0.05093393886927515,1720
224.19109461896406,47,3885,90,708608,90.0,29.31401824951172,0.0003,0.2,0.9874772429466248,32.096920013427734,15.244396209716797,0.07999999076128006,0.72900390625,0.32777482,0.026630226825363933,1725
230.01927640933565,47,3886,91,710656,92.31,51.6882119178772,0.0003,0.2,0.9752132296562195,32.096920013427734,20.94215202331543,0.07999999076128006,0.73564453125,0.23395959,0.035700265178456904,1730
232.06616122085646,48,3887,92,712704,93.13,41.617886209487914,0.0003,0.2,0.985275149345398,32.096920013427734,16.14170265197754,0.07999999076128006,0.6916015625,0.2271587,0.021095726662315427,1735
228.8105646651211,48,3888,93,714752,91.95,39.346477842330934,0.0003,0.2,0.9814111590385437,32.096920013427734,15.705378532409668,0.07999999076128006,0.65009765625,0.21716121,0.01024031067499891,1740
229.1571636900412,49,3889,94,716800,92.19,42.635382080078124,0.0003,0.2,0.9797799587249756,32.096920013427734,16.549715042114258,0.07999999076128006,0.72080078125,0.25132823,0.02233697457704693,1745
222.1711520375345,50,3890,95,718848,89.67,25.862024068832397,0.0003,0.2,0.9895631670951843,32.096920013427734,12.180988311767578,0.07999999076128006,0.751171875,0.4887382,0.053495838824892415,1750
221.51443549791514,50,3890,96,720896,89.48,27.229278659820558,0.0003,0.2,0.9886413216590881,32.096920013427734,11.532758712768555,0.07999999076128006,0.7466796875,0.47498012,0.03825233338866383,1755
219.9686039179152,51,3891,97,722944,88.92,49.50331630706787,0.0003,0.2,0.9757930636405945,32.096920013427734,22.532865524291992,0.07999999076128006,0.6765625,0.17596723,0.007737307611387223,1760
219.03210915407715,51,3892,98,724992,88.49,60.40790395736694,0.0003,0.2,0.9756254553794861,32.096920013427734,30.8729248046875,0.07999999076128006,0.666796875,0.18037465,0.007050902699120343,1765
216.86009991744132,52,3893,99,727040,87.76,58.130469703674315,0.0003,0.2,0.9720264673233032,32.096920013427734,27.568342208862305,0.07999999076128006,0.6716796875,0.15683958,0.005993956932798028,1770
215.3898277755517,52,3894,100,729088,87.24,52.927344989776614,0.0003,0.2,0.9783217310905457,32.096920013427734,25.82234001159668,0.07999999076128006,0.67431640625,0.19049034,0.014388935884926467,1775
215.3028217943934,53,3895,101,731136,87.21,57.6850302696228,0.0003,0.2,0.976385772228241,32.096920013427734,31.440719604492188,0.07999999076128006,0.6916015625,0.17872211,0.011871819978114217,1780
211.69198334519012,53,3896,102,733184,86.12,59.19594297409058,0.0003,0.2,0.9744572639465332,32.096920013427734,25.90671730041504,0.07999999076128006,0.66875,0.2263653,0.020851004717405884,1785
