time/time_elapsed,time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/explained_variance,train/entropy_loss,train/std,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/clip_range,train/clip_fraction,train/n_updates,train/approx_kl,train/loss
36,79,115.43,686080,4466,282.3307446258091,0.8356608748435974,32.096920013427734,0.07999999076128006,0.036410825327038765,0.0003,426.3385314941406,0.2,0.3203125,1358,0.046165694,221.62722778320312
36,80,111.27,688128,4469,268.5773401810777,0.8496829271316528,32.096920013427734,0.07999999076128006,0.032340544275939465,0.0003,445.0717315673828,0.2,0.302734375,1359,0.037866145,202.2222137451172
37,81,106.45,690176,4471,252.04745033178173,0.8678596615791321,32.096920013427734,0.07999999076128006,0.016249267850071192,0.0003,442.29766845703125,0.2,0.267578125,1360,0.031400684,224.74119567871094
37,82,100.91,692224,4473,235.43577474114159,0.8859981298446655,32.096920013427734,0.07999999076128006,0.020442158915102482,0.0003,352.4918212890625,0.2,0.255859375,1361,0.029714972,174.72752380371094
37,83,97.79,694272,4475,226.74956666489254,0.9113693237304688,32.096920013427734,0.07999999076128006,0.015755190514028072,0.0003,348.85125732421875,0.2,0.234375,1362,0.02220829,194.62705993652344
38,84,93.66,696320,4477,213.79250604604115,0.9196236729621887,32.096920013427734,0.07999999076128006,0.01252856943756342,0.0003,324.0039978027344,0.2,0.224609375,1363,0.017151712,162.4499969482422
38,85,92.61,698368,4478,209.87919535816664,0.8905377984046936,32.096920013427734,0.07999999076128006,0.02336096204817295,0.0003,300.65467834472656,0.2,0.2265625,1364,0.016493695,144.8567352294922
39,86,90.69,700416,4479,203.55852268925213,0.932745635509491,32.096920013427734,0.07999999076128006,0.0281925064822038,0.0003,247.41529337565103,0.2,0.3684895833333333,1365,0.042980667,98.29036712646484
39,87,91.83,702464,4481,205.14459750606812,0.9025847911834717,32.096920013427734,0.07999999076128006,0.014177381992340088,0.0003,351.13543701171875,0.2,0.21484375,1366,0.01906373,149.47665405273438
40,88,93.16,704512,4482,208.0693333288186,0.9021829962730408,32.096920013427734,0.07999999076128006,0.01946086436510086,0.0003,288.24489339192706,0.2,0.3216145833333333,1367,0.043269128,145.71844482421875
40,89,92.15,706560,4484,205.42812932224157,0.9094258546829224,32.096920013427734,0.07999999076128006,0.01773984171450138,0.0003,294.560297648112,0.2,0.3229166666666667,1368,0.031159908,106.70477294921875
41,90,91.97,708608,4485,206.3572881116283,0.9243034720420837,32.096920013427734,0.07999999076128006,0.025562498718500137,0.0003,228.05060831705728,0.2,0.2708333333333333,1369,0.022300662,108.42201232910156
41,91,90.04,710656,4487,202.5910003049183,0.9547914266586304,32.096920013427734,0.07999999076128006,0.014350058510899544,0.0003,144.92675018310547,0.2,0.25,1370,0.027429543,70.28421020507812
41,92,90.32,712704,4489,203.8954358136859,0.9236841201782227,32.096920013427734,0.07999999076128006,0.018224050290882587,0.0003,239.6739044189453,0.2,0.240234375,1371,0.022443686,109.19255065917969
42,93,90.74,714752,4490,204.33816311823333,0.9271718263626099,32.096920013427734,0.07999999076128006,0.04636109061539173,0.0003,205.31745147705078,0.2,0.345703125,1372,0.06744975,91.0870361328125
42,94,89.75,716800,4492,201.35468421345658,0.9408573508262634,32.096920013427734,0.07999999076128006,0.02288983389735222,0.0003,190.0242462158203,0.2,0.306640625,1373,0.049256884,85.23204040527344
43,95,89.56,718848,4494,200.72258832294136,0.9614721536636353,32.096920013427734,0.07999999076128006,0.040604799054563046,0.0003,132.09459686279297,0.2,0.333984375,1374,0.07021321,56.23263168334961
43,96,87.22,720896,4495,194.65050290985909,0.9499614834785461,32.096920013427734,0.07999999076128006,0.03897687699645758,0.0003,145.24488067626953,0.2,0.34765625,1375,0.08963989,79.3093490600586
44,97,86.15,722944,4497,191.56427120074287,0.9522033333778381,32.096920013427734,0.07999999076128006,0.040106710977852345,0.0003,134.95145416259766,0.2,0.36328125,1376,0.088276334,73.71713256835938
44,98,85.64,724992,4498,190.23007476104192,0.9557735919952393,32.096920013427734,0.07999999076128006,0.07745543215423822,0.0003,119.94843673706055,0.2,0.376953125,1377,0.10617791,58.08163070678711
45,99,85.6,727040,4500,190.22023663959385,0.9535177946090698,32.096920013427734,0.07999999076128006,0.05948198400437832,0.0003,127.10803604125977,0.2,0.365234375,1378,0.112796426,61.21377944946289
45,100,85.59,729088,4502,190.5779649688936,0.9576520919799805,32.096920013427734,0.07999999076128006,0.0649934159591794,0.0003,118.56082153320312,0.2,0.373046875,1379,0.11180358,53.54886245727539
45,101,87.71,731136,4503,196.4137723186282,0.9485670924186707,32.096920013427734,0.07999999076128006,0.11745795793831348,0.0003,124.17244720458984,0.2,0.400390625,1380,0.1656359,70.15678405761719
46,102,90.24,733184,4505,204.2014467804925,0.9369796514511108,32.096920013427734,0.07999999076128006,0.0406232294626534,0.0003,168.55880737304688,0.2,0.408203125,1381,0.1396447,93.3875961303711
46,103,92.53,735232,4507,212.11668883241381,0.9217139482498169,32.096920013427734,0.07999999076128006,0.0551166464574635,0.0003,160.56700134277344,0.2,0.369140625,1382,0.10347497,71.99685668945312
47,104,95.18,737280,4509,220.76344126977475,0.9192596673965454,32.096920013427734,0.07999999076128006,0.046042852103710175,0.0003,175.4671173095703,0.2,0.3515625,1383,0.07752923,90.36638641357422
47,105,99.65,739328,4511,234.10541245024382,0.9055213332176208,32.096920013427734,0.07999999076128006,0.044076358899474144,0.0003,219.23990631103516,0.2,0.361328125,1384,0.08924352,110.27771759033203
48,106,102.83,741376,4513,244.74453670015595,0.8613958358764648,32.096920013427734,0.07999999076128006,0.057651928160339594,0.0003,361.4230041503906,0.2,0.330078125,1385,0.062940195,181.88607788085938
48,107,106.19,743424,4515,255.25243008829733,0.8976747989654541,32.096920013427734,0.07999999076128006,0.03845999389886856,0.0003,255.65347290039062,0.2,0.34375,1386,0.052851863,124.0058364868164
48,108,108.73,745472,4517,263.5099817434367,0.8561379909515381,32.096920013427734,0.07999999076128006,0.037151647033169866,0.0003,342.26043701171875,0.2,0.3125,1387,0.04791928,144.31175231933594
49,109,110.2,747520,4519,267.6173288375678,0.8977550268173218,32.096920013427734,0.07999999076128006,0.03952670469880104,0.0003,241.0721435546875,0.2,0.318359375,1388,0.04415068,116.20746612548828
49,110,111.46,749568,4520,271.84908288055635,0.8422142863273621,32.096920013427734,0.07999999076128006,0.03320914879441261,0.0003,330.41334533691406,0.2,0.302734375,1389,0.04212951,164.04348754882812
50,111,113.6,751616,4522,277.54316785757584,0.8925886154174805,32.096920013427734,0.07999999076128006,0.026786429341882467,0.0003,282.62770080566406,0.2,0.255859375,1390,0.029433178,128.12747192382812
50,112,114.82,753664,4524,282.1581500232126,0.8134279251098633,32.096920013427734,0.07999999076128006,0.031565465964376926,0.0003,435.5419921875,0.2,0.26953125,1391,0.028281754,211.24217224121094
51,113,115.99,755712,4526,285.3454383959771,0.8605201840400696,32.096920013427734,0.07999999076128006,0.015937977470457554,0.0003,359.6822204589844,0.2,0.21875,1392,0.020189038,194.3470916748047
