rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/clip_fraction,train/n_updates,train/clip_range,train/value_loss,train/loss,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/std,train/approx_kl,train/explained_variance
100.38,200,3484,3581952,238.9942880418447,341,0.2021484375,2830,0.2,72.8558177947998,34.425777435302734,0.0001,0.003194638527929783,32.096920013427734,0.07999999076128006,0.015692288,0.9710808992385864
102.31,200,3484,3584000,244.1717929604991,342,0.21809895833333334,2831,0.2,64.60815175374348,32.79685592651367,0.0001,0.010757855760554472,32.096920013427734,0.07999999076128006,0.015716298,0.9729922413825989
102.27,201,3484,3586048,243.79906053883298,343,0.24088541666666666,2832,0.2,52.59776051839193,28.649625778198242,0.0001,0.01635068158308665,32.096920013427734,0.07999999076128006,0.017812157,0.9817559123039246
104.73,202,3484,3588096,250.5348519898537,344,0.2255859375,2834,0.2,89.41384251912434,40.88923645019531,0.0001,0.007590783255485197,32.096920013427734,0.07999999076128006,0.022777192,0.9649652242660522
106.83,202,3485,3590144,256.13947538135625,345,0.171875,2835,0.2,76.76636505126953,32.94465637207031,0.0001,0.009245195891708136,32.096920013427734,0.07999999076128006,0.012637036,0.9710199236869812
105.57,203,3485,3592192,252.65451335053874,346,0.1728515625,2836,0.2,83.1869888305664,36.5117073059082,0.0001,0.006824310403317213,32.096920013427734,0.07999999076128006,0.01289581,0.9701615571975708
104.8,203,3485,3594240,250.44868694934928,347,0.196875,2837,0.2,134.71337203979493,119.5395736694336,0.0001,0.0019382057711482049,32.096920013427734,0.07999999076128006,0.01411024,0.9548013210296631
104.88,204,3485,3596288,250.40981103008627,348,0.18203125,2838,0.2,62.65664138793945,34.40309143066406,0.0001,0.004250727873295545,32.096920013427734,0.07999999076128006,0.012958681,0.979640007019043
103.88,205,3485,3598336,247.07351737763526,349,0.18619791666666666,2839,0.2,64.0034662882487,35.46969985961914,0.0001,0.006541819466898839,32.096920013427734,0.07999999076128006,0.014599569,0.9757440090179443
102.23,205,3485,3600384,242.5280575321018,350,0.253125,2840,0.2,48.55288543701172,25.347793579101562,0.0001,0.015310733020305634,32.096920013427734,0.07999999076128006,0.01861551,0.9842739105224609
102.68,206,3485,3602432,243.3202577351902,351,0.240234375,2842,0.2,70.88203201293945,30.108476638793945,0.0001,0.011259803315624595,32.096920013427734,0.07999999076128006,0.025628272,0.971531331539154
102.29,206,3485,3604480,242.1060098485574,352,0.224609375,2843,0.2,45.27429389953613,20.990270614624023,0.0001,0.012639014981687069,32.096920013427734,0.07999999076128006,0.017634902,0.9824491143226624
103.2,207,3485,3606528,244.77201658931452,353,0.27064732142857145,2844,0.2,54.646267482212615,30.176095962524414,0.0001,0.01999974942633084,32.096920013427734,0.07999999076128006,0.020414546,0.9795739054679871
102.75,207,3485,3608576,243.52130174700386,354,0.21484375,2845,0.2,46.95414733886719,22.805543899536133,0.0001,0.007166491976628701,32.096920013427734,0.07999999076128006,0.015499351,0.9824262857437134
101.23,208,3486,3610624,240.5843887682622,355,0.224609375,2846,0.2,59.87534046173096,29.317058563232422,0.0001,0.015910353511571884,32.096920013427734,0.07999999076128006,0.018135395,0.9797214865684509
102.04,209,3486,3612672,242.71368383691635,356,0.18125,2847,0.2,163.16739044189453,119.80677032470703,0.0001,0.01057292651385069,32.096920013427734,0.07999999076128006,0.0142161995,0.9181588888168335
98.96,209,3486,3614720,235.95798646711216,357,0.244140625,2848,0.2,37.34088134765625,19.340356826782227,0.0001,0.012879544869065285,32.096920013427734,0.07999999076128006,0.01738181,0.9868419766426086
98.36,210,3486,3616768,234.63304528939224,358,0.20368303571428573,2849,0.2,226.86427089146204,85.4665298461914,0.0001,0.014917045565588134,32.096920013427734,0.07999999076128006,0.015240437,0.9158265590667725
97.35,210,3486,3618816,232.60188860414308,359,0.19270833333333334,2850,0.2,48.67346064249674,20.429922103881836,0.0001,0.012955818480501572,32.096920013427734,0.07999999076128006,0.014706983,0.982120931148529
97.95,211,3486,3620864,234.2367131245937,360,0.173828125,2851,0.2,51.50085163116455,21.815433502197266,0.0001,0.009164010873064399,32.096920013427734,0.07999999076128006,0.01363869,0.9813888669013977
97.11,212,3486,3622912,231.4974630058991,361,0.28828125,2853,0.2,40.23151550292969,18.25254249572754,0.0001,0.013812861032783985,32.096920013427734,0.07999999076128006,0.030264761,0.9847825169563293
100.16,212,3486,3624960,238.91374750454102,362,0.23883928571428573,2854,0.2,54.210871015276226,22.951242446899414,0.0001,0.012136418505438737,32.096920013427734,0.07999999076128006,0.016576381,0.9784195423126221
101.02,213,3487,3627008,241.27152201269564,363,0.23828125,2855,0.2,41.24944877624512,22.24883270263672,0.0001,0.013887094566598535,32.096920013427734,0.07999999076128006,0.018542923,0.984951913356781
100.29,213,3487,3629056,239.16711251484995,364,0.197265625,2856,0.2,54.10939121246338,26.0748233795166,0.0001,0.014036406297236681,32.096920013427734,0.07999999076128006,0.015404246,0.9787956476211548
101.65,214,3487,3631104,242.3230063909872,365,0.18229166666666666,2857,0.2,42.90951156616211,17.91570472717285,0.0001,-0.0005777009452382723,32.096920013427734,0.07999999076128006,0.014226872,0.9801930785179138
103.75,214,3487,3633152,247.9184536030289,366,0.20703125,2858,0.2,50.242871602376304,23.806434631347656,0.0001,0.010515086197604736,32.096920013427734,0.07999999076128006,0.016531141,0.9802020788192749
102.18,215,3487,3635200,244.24296862165488,367,0.2747395833333333,2859,0.2,58.522935231526695,27.215137481689453,0.0001,0.006543705550332864,32.096920013427734,0.07999999076128006,0.02105149,0.978864312171936
101.83,216,3488,3637248,243.46395095297376,368,0.18619791666666666,2860,0.2,60.48683547973633,33.540435791015625,0.0001,0.012995082264145216,32.096920013427734,0.07999999076128006,0.015067279,0.9767550230026245
101.68,216,3488,3639296,243.24633237147324,369,0.2666015625,2861,0.2,38.80448532104492,21.644865036010742,0.0001,0.013279436156153679,32.096920013427734,0.07999999076128006,0.026627969,0.9846060872077942
102.04,217,3488,3641344,244.76462511794514,370,0.2607421875,2862,0.2,38.65204620361328,18.053564071655273,0.0001,0.009990335092879832,32.096920013427734,0.07999999076128006,0.023108484,0.9863942861557007
101.36,217,3488,3643392,243.92152151014005,371,0.2216796875,2863,0.2,53.03275394439697,27.118194580078125,0.0001,0.012826984748244286,32.096920013427734,0.07999999076128006,0.018549293,0.9809993505477905
100.85,218,3488,3645440,243.01693674751408,372,0.2119140625,2864,0.2,43.97220325469971,20.05857276916504,0.0001,0.00814349902793765,32.096920013427734,0.07999999076128006,0.01549943,0.9834508299827576
100.18,218,3488,3647488,242.16278228540287,373,0.23660714285714285,2865,0.2,77.37823377336774,43.54676818847656,0.0001,0.012737045862845011,32.096920013427734,0.07999999076128006,0.017238585,0.9758254885673523
99.95,219,3488,3649536,241.91032010184728,374,0.31640625,2866,0.2,72.79298146565755,34.27572250366211,0.0001,0.013321975866953531,32.096920013427734,0.07999999076128006,0.036438905,0.9702901244163513
98.24,220,3488,3651584,237.7790175891609,375,0.3606770833333333,2867,0.2,35.8184700012207,17.83578872680664,0.0001,0.03403633957107862,32.096920013427734,0.07999999076128006,0.04221876,0.9869762063026428
96.42,220,3487,3653632,233.0388847826677,376,0.2604166666666667,2868,0.2,57.3943837483724,37.631736755371094,0.0001,0.010362026281654835,32.096920013427734,0.07999999076128006,0.021072024,0.9767716526985168
94.36,221,3487,3655680,228.22183752970597,377,0.2646484375,2869,0.2,218.0149269104004,125.26304626464844,0.0001,0.010237408336251974,32.096920013427734,0.07999999076128006,0.023494286,0.9162837862968445
90.66,221,3488,3657728,218.71263244121445,378,0.1669921875,2870,0.2,266.8992118835449,87.57159423828125,0.0001,0.019119131844490767,32.096920013427734,0.07999999076128006,0.012663169,0.918020486831665
83.13,222,3488,3659776,200.52392303824448,379,0.18828125,2871,0.2,265.9123931884766,133.03775024414062,0.0001,0.0016186898574233055,32.096920013427734,0.07999999076128006,0.0132022025,0.9051878452301025
77.9,223,3488,3661824,187.74839086589066,380,0.18424479166666666,2872,0.2,547.7726593017578,221.07376098632812,0.0001,0.012913045939058065,32.096920013427734,0.07999999076128006,0.013709731,0.7832552194595337
76.05,223,3488,3663872,183.4953941246283,381,0.17822265625,2873,0.2,301.633207321167,93.16156768798828,0.0001,0.0020815671887248755,32.096920013427734,0.07999999076128006,0.013166279,0.8745245933532715
