time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/loss,train/n_updates,train/entropy_loss,train/value_loss,train/std,train/clip_fraction,train/learning_rate,train/explained_variance
17,1900544,174.95964880586402,65.57,3687,32,0.015605786815285683,0.021681149,0.2,52.84622573852539,1979,32.096920013427734,80.95305252075195,0.07999999076128006,0.2265625,0.0001,0.934050440788269
18,1902592,173.24029683710285,65.54,3689,33,0.009071095613762736,0.020693097,0.2,24.195880889892578,1980,32.096920013427734,103.3863639831543,0.07999999076128006,0.234375,0.0001,0.947433590888977
18,1904640,164.72412196548368,63.02,3693,34,0.0028948234394192696,0.01626714,0.2,63.67601013183594,1981,32.096920013427734,135.67771911621094,0.07999999076128006,0.20703125,0.0001,0.9209553599357605
19,1906688,147.68265328271636,57.25,3695,35,0.010468500666320324,0.015949873,0.2,162.36253356933594,1982,32.096920013427734,344.2183837890625,0.07999999076128006,0.19140625,0.0001,0.7490137815475464
19,1908736,135.17459963259356,53.36,3697,36,0.049791364620129265,0.044908404,0.2,154.96273803710938,1983,32.096920013427734,489.15041097005206,0.07999999076128006,0.3138020833333333,0.0001,0.6824734210968018
20,1910784,119.54408200683929,47.94,3699,37,0.013008512866993746,0.023521475,0.2,336.5789489746094,1984,32.096920013427734,675.3748982747396,0.07999999076128006,0.25390625,0.0001,0.6892197132110596
21,1912832,98.40999752562615,39.95,3700,38,0.024430297936002415,0.016015742,0.2,693.7417602539062,1985,32.096920013427734,1291.2244466145833,0.07999999076128006,0.21484375,0.0001,0.4480860233306885
21,1914880,90.73143424841022,37.08,3700,39,0.01718912646174431,0.018840926,0.2,747.9986572265625,1986,32.096920013427734,1327.058837890625,0.07999999076128006,0.2177734375,0.0001,0.4002860188484192
22,1916928,78.04536533391516,32.18,3700,40,0.00675949864089489,0.014323113,0.2,761.1400146484375,1987,32.096920013427734,1552.532958984375,0.07999999076128006,0.1859375,0.0001,0.2686271667480469
22,1918976,73.1220357683649,30.13,3697,41,0.009376853958449581,0.029313495,0.2,726.9072875976562,1989,32.096920013427734,1734.569180575284,0.07999999076128006,0.21555397727272727,0.0001,0.15434443950653076
23,1921024,64.12147067464343,26.64,3689,42,-0.011877362406812609,0.015618969,0.2,485.3997497558594,1994,32.096920013427734,1252.28240814209,0.07999999076128006,0.1333984375,0.0001,0.14587527513504028
