time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,train/std,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/entropy_loss,train/loss,train/learning_rate
1099776,149,392.053485262554,281,145.07,3846,0.44396063685417175,0.36357421875,-0.04132439359091222,0.040004082,0.9233607649803162,2680,0.2,152.83418159484864,-17.538804531097412,65.56864929199219,0.0003
1101824,150,396.4638471306982,282,146.63,3846,0.4442650079727173,0.46982421875,-0.035858223820105194,0.07548471,0.9633132815361023,2685,0.2,70.50468759536743,-17.568422079086304,25.074098587036133,0.0003
1103872,150,392.01852689837887,283,145.23,3846,0.4446038603782654,0.37568359375,-0.03562258342280984,0.039104074,0.8326137661933899,2690,0.2,228.89253349304198,-17.587434482574462,107.4454345703125,0.0003
1105920,151,384.09137358236694,284,143.16,3846,0.44494399428367615,0.27998046875,-0.03387836292386055,0.033706896,0.9122200608253479,2695,0.2,249.1941432952881,-17.609866333007812,67.78147888183594,0.0003
1107968,151,385.6234886580275,285,144.02,3846,0.44540536403656006,0.42119140625,-0.03201684621162713,0.07472783,0.9730968475341797,2700,0.2,74.47369260787964,-17.635938119888305,23.538494110107422,0.0003
1110016,152,384.8822579797776,286,144.15,3846,0.44548818469047546,0.5302734375,-0.019809720967896283,0.13971522,0.9546651840209961,2705,0.2,36.608475875854495,-17.649876976013182,12.685514450073242,0.0003
1112064,152,385.7830757167442,287,144.39,3847,0.4459267258644104,0.48037109375,-0.026803825888782738,0.08230888,0.9620653986930847,2710,0.2,47.87904744148254,-17.671341037750246,14.278925895690918,0.0003
1114112,153,387.001791260888,288,144.89,3847,0.44618842005729675,0.4388671875,-0.030921632912941276,0.06935112,0.8616049289703369,2715,0.2,79.79832401275635,-17.693361043930054,26.675893783569336,0.0003
1116160,153,386.94790284212536,289,144.79,3847,0.4462115168571472,0.37646484375,-0.03145621183793992,0.04318803,0.9205553531646729,2720,0.2,103.72535047531127,-17.701891374588012,46.49053192138672,0.0003
1118208,154,388.90954352218205,290,145.53,3847,0.4464625418186188,0.32822265625,-0.0313828406506218,0.044555042,0.9105884432792664,2725,0.2,102.3832495689392,-17.710810375213622,25.982440948486328,0.0003
1120256,154,396.0984897104539,291,147.42,3848,0.44672515988349915,0.3373046875,-0.025766034063417466,0.034915753,0.925962507724762,2730,0.2,81.65940098762512,-17.72544469833374,17.929258346557617,0.0003
1122304,155,397.4346960841543,292,147.83,3848,0.4477497339248657,0.7494140625,0.01677214375231415,0.9308351,0.9666447639465332,2735,0.2,11.94309377670288,-17.75312352180481,5.607920169830322,0.0003
1124352,155,390.3629574694179,293,145.77,3848,0.4483216404914856,0.84814453125,0.1154190170171205,1.0625339,0.8231201767921448,2740,0.2,251.79352054595947,-17.823542499542235,70.17189025878906,0.0003
1126400,156,365.0325704284987,294,137.38,3848,0.44840481877326965,0.12138671875,-0.022769126412458717,0.011970041,0.8742464780807495,2745,0.2,595.1332092285156,-17.839583253860475,226.8064727783203,0.0003
1128448,156,353.3341151772929,295,133.76,3849,0.4484424591064453,0.0740234375,-0.023848956194706263,0.011664204,0.9083449244499207,2750,0.2,659.6354393005371,-17.84224090576172,255.6803436279297,0.0003
1130496,157,331.0235441326077,296,126.4,3849,0.44850480556488037,0.10126953125,-0.026519479625858367,0.011439212,0.9239186644554138,2755,0.2,549.2707366943359,-17.845122194290163,236.83428955078125,0.0003
1132544,157,308.7571435554471,297,119.22,3849,0.44862812757492065,0.08359375,-0.02272296353476122,0.010176541,0.9149613380432129,2760,0.2,612.8546562194824,-17.850815868377687,215.97947692871094,0.0003
1134592,158,301.0928114920162,298,116.43,3850,0.44878730177879333,0.14228515625,-0.035944779473356905,0.016202677,0.8726760149002075,2765,0.2,545.4470970153809,-17.860623407363892,202.23809814453125,0.0003
1136640,159,301.3512624505495,299,116.56,3850,0.44890591502189636,0.1775390625,-0.040940787259023635,0.021072812,0.915106475353241,2770,0.2,408.84890975952146,-17.868830919265747,168.71080017089844,0.0003
